!Agilent Technologies,E4990A,MY54101349,A.02.20
!Date: Wed Sep 21 01:14:50 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.06708165019e+001, +5.83432619224e+001, +7.22808574937e-002, +5.60035486477e+000
+3.00000000000e+001, +1.42831703362e+001, +6.47549473205e+001, +6.85374923465e-002, +6.09163847641e+000
+4.00000000000e+001, +1.76006751403e+001, +6.89091013046e+001, +6.53395434257e-002, +6.33357841438e+000
+5.00000000000e+001, +2.08424894487e+001, +7.20885128969e+001, +6.31282084294e-002, +6.41005332823e+000
+6.00000000000e+001, +2.39989790040e+001, +7.44555272431e+001, +6.13307869198e-002, +6.43139666641e+000
+7.00000000000e+001, +2.70396547296e+001, +7.65101777838e+001, +5.97823885820e-002, +6.30761143872e+000
+8.00000000000e+001, +3.00537145375e+001, +7.79997351006e+001, +5.84833536680e-002, +6.24865451774e+000
+9.00000000000e+001, +3.28975360317e+001, +7.95111068225e+001, +5.72035143793e-002, +5.98882923266e+000
+1.00000000000e+002, +3.57616476657e+001, +8.06286401512e+001, +5.61568050617e-002, +5.82316882960e+000
+1.10000000000e+002, +3.86067187603e+001, +8.14749869640e+001, +5.52414689226e-002, +5.72310483584e+000
+1.20000000000e+002, +4.14774750484e+001, +8.20996791561e+001, +5.44890815909e-002, +5.70108278925e+000
+1.30000000000e+002, +4.43259679130e+001, +8.26523807409e+001, +5.38212863215e-002, +5.66880108839e+000
+1.40000000000e+002, +4.71309154797e+001, +8.31255122222e+001, +5.31942190042e-002, +5.64132454151e+000
+1.50000000000e+002, +4.99687743005e+001, +8.35061805127e+001, +5.26783526438e-002, +5.65127030815e+000
+1.60000000000e+002, +5.27522345478e+001, +8.39476272983e+001, +5.21811265802e-002, +5.56206310509e+000
+1.70000000000e+002, +5.55602577486e+001, +8.42197597424e+001, +5.17513471486e-002, +5.59565046830e+000
+1.80000000000e+002, +5.82890723994e+001, +8.44553298410e+001, +5.12977140433e-002, +5.63199365876e+000
+1.90000000000e+002, +6.10621403640e+001, +8.47319245010e+001, +5.09331121620e-002, +5.60646729053e+000
+2.00000000000e+002, +6.38179383865e+001, +8.49259126947e+001, +5.05856849977e-002, +5.64430202724e+000
+2.10000000000e+002, +6.66117672126e+001, +8.51199107529e+001, +5.03007637683e-002, +5.66670832157e+000
+2.20000000000e+002, +6.93618673899e+001, +8.52907132032e+001, +5.00091657166e-002, +5.69461262163e+000
+2.30000000000e+002, +7.21200095051e+001, +8.54375988419e+001, +4.97473250864e-002, +5.73677153718e+000
+2.40000000000e+002, +7.48637783116e+001, +8.56231631864e+001, +4.95008028014e-002, +5.71329957606e+000
+2.50000000000e+002, +7.76357888596e+001, +8.57137009316e+001, +4.92862396662e-002, +5.80251993174e+000
+2.60000000000e+002, +8.04048063728e+001, +8.58101240704e+001, +4.90870062690e-002, +5.87453372395e+000
+2.70000000000e+002, +8.31977420243e+001, +8.59096837529e+001, +4.89170528688e-002, +5.93440029961e+000
+2.80000000000e+002, +8.59496091421e+001, +8.60066203019e+001, +4.87360472044e-002, +5.98563466606e+000
+2.90000000000e+002, +8.87167240391e+001, +8.61029071140e+001, +4.85760571543e-002, +6.02960281637e+000
+3.00000000000e+002, +9.14986690965e+001, +8.61805199578e+001, +4.84337348736e-002, +6.09501365041e+000
+3.10000000000e+002, +9.42834770706e+001, +8.62451650388e+001, +4.83015169051e-002, +6.17437358314e+000
+3.20000000000e+002, +9.70163738228e+001, +8.63413625354e+001, +4.81536455907e-002, +6.19079757411e+000
+3.30000000000e+002, +9.97845105095e+001, +8.63982909323e+001, +4.80297891601e-002, +6.26849183781e+000
+3.40000000000e+002, +1.02515120684e+002, +8.65022281371e+001, +4.78982196683e-002, +6.25441918751e+000
+3.50000000000e+002, +1.05254552683e+002, +8.65749852315e+001, +4.77767456643e-002, +6.28813743299e+000
+3.60000000000e+002, +1.07692354620e+002, +8.67388293482e+001, +4.75333733354e-002, +6.12634210030e+000
+3.70000000000e+002, +1.10433335101e+002, +8.67945686186e+001, +4.74284133320e-002, +6.17500719805e+000
+3.80000000000e+002, +1.13139973163e+002, +8.68293166157e+001, +4.73137398044e-002, +6.25784252130e+000
+3.90000000000e+002, +1.15865475105e+002, +8.68723216136e+001, +4.72130630193e-002, +6.32175689541e+000
+4.00000000000e+002, +1.18631261780e+002, +8.69293447748e+001, +4.71341085595e-002, +6.35476735538e+000
+4.10000000000e+002, +1.21331827451e+002, +8.69617870854e+001, +4.70327251650e-002, +6.43082608617e+000
+4.20000000000e+002, +1.24053488929e+002, +8.70028300301e+001, +4.69445687976e-002, +6.48633894140e+000
+4.30000000000e+002, +1.26779930552e+002, +8.70280919276e+001, +4.68616632558e-002, +6.57307351783e+000
+4.40000000000e+002, +1.29609965538e+002, +8.70482717850e+001, +4.68197701949e-002, +6.67421213952e+000
+4.50000000000e+002, +1.32289784985e+002, +8.70953570934e+001, +4.67278298346e-002, +6.70363538540e+000
+4.60000000000e+002, +1.35055975831e+002, +8.71293436670e+001, +4.66692458409e-002, +6.76379852455e+000
+4.70000000000e+002, +1.37824817717e+002, +8.71739361994e+001, +4.66145177309e-002, +6.79533145840e+000
+4.80000000000e+002, +1.40512467523e+002, +8.71547788629e+001, +4.65326790526e-002, +6.97476769425e+000
+4.90000000000e+002, +1.43263536281e+002, +8.72084519208e+001, +4.64776380396e-002, +6.97728256639e+000
