!Agilent Technologies,E4990A,MY54101349,A.02.20
!Date: Tue Sep 20 23:58:16 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.22680934672e+001, +4.26294620370e+001, +6.61178982545e-002, +9.02623668738e+000
+2.01250000000e+001, +1.22976635908e+001, +4.25966317443e+001, +6.58245927613e-002, +9.05276367575e+000
+2.02510000000e+001, +1.23104588366e+001, +4.28852575077e+001, +6.58410395286e-002, +9.02009511561e+000
+2.03770000000e+001, +1.23466743192e+001, +4.26625031965e+001, +6.53512092157e-002, +9.07922887463e+000
+2.05040000000e+001, +1.24060078618e+001, +4.28853218125e+001, +6.55334295079e-002, +9.09009613342e+000
+2.06330000000e+001, +1.24794795953e+001, +4.28047747334e+001, +6.54101663881e-002, +9.15586023862e+000
+2.07610000000e+001, +1.25381589853e+001, +4.26921078198e+001, +6.51737570378e-002, +9.21564717150e+000
+2.08910000000e+001, +1.24911969688e+001, +4.31767294693e+001, +6.51149014783e-002, +9.10916284829e+000
+2.10220000000e+001, +1.25565100606e+001, +4.29227527054e+001, +6.47395433591e-002, +9.19478726737e+000
+2.11530000000e+001, +1.26182826387e+001, +4.29812248431e+001, +6.47260465461e-002, +9.23124719060e+000
+2.12850000000e+001, +1.26427015813e+001, +4.30622208321e+001, +6.45468274370e-002, +9.23691768878e+000
+2.14180000000e+001, +1.26773301866e+001, +4.31425117799e+001, +6.44180925747e-002, +9.25007870969e+000
+2.15520000000e+001, +1.27290772577e+001, +4.32302948888e+001, +6.43838906884e-002, +9.27448937472e+000
+2.16860000000e+001, +1.27606629865e+001, +4.33304289795e+001, +6.42639842144e-002, +9.28221378533e+000
+2.18220000000e+001, +1.27968168626e+001, +4.31711355315e+001, +6.38554205540e-002, +9.33288996476e+000
+2.19580000000e+001, +1.28858697110e+001, +4.29155344081e+001, +6.35970293708e-002, +9.43707376894e+000
+2.20950000000e+001, +1.28888792516e+001, +4.28027410137e+001, +6.30834826017e-002, +9.45653667237e+000
+2.22330000000e+001, +1.32010200023e+001, +4.01534746893e+001, +6.09368043191e-002, +1.00898023042e+001
+2.23720000000e+001, +1.29397839461e+001, +4.34907516560e+001, +6.33549666202e-002, +9.38762525939e+000
+2.25120000000e+001, +1.29702906675e+001, +4.37883622579e+001, +6.34541008638e-002, +9.36326319864e+000
+2.26530000000e+001, +1.29853751399e+001, +4.39246127980e+001, +6.32889182665e-002, +9.35275770625e+000
+2.27940000000e+001, +1.30339251955e+001, +4.39898472321e+001, +6.32071749609e-002, +9.37742538452e+000
+2.29360000000e+001, +1.31079137875e+001, +4.37736626315e+001, +6.29250683730e-002, +9.46494026040e+000
+2.30800000000e+001, +1.31487783644e+001, +4.37988514882e+001, +6.27561935798e-002, +9.49044769871e+000
+2.32240000000e+001, +1.31759485782e+001, +4.38248833708e+001, +6.25255525249e-002, +9.50591412324e+000
+2.33690000000e+001, +1.32047100544e+001, +4.39583018116e+001, +6.24241461366e-002, +9.50534664549e+000
+2.35150000000e+001, +1.32547271457e+001, +4.41040212360e+001, +6.24355891625e-002, +9.51792072473e+000
