!Agilent Technologies,E4990A,MY54101349,A.02.20
!Date: Wed Sep 21 01:14:12 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+2.00000000000e+001, +1.07597275426e+001, +6.10091036697e+001, +7.48943251316e-002, +5.21492410605e+000
+2.01250000000e+001, +1.08183217068e+001, +6.10208370645e+001, +7.48429512676e-002, +5.24138502522e+000
+2.02510000000e+001, +1.08758458290e+001, +6.09300582659e+001, +7.47070641302e-002, +5.28432246170e+000
+2.03770000000e+001, +1.09130924026e+001, +6.10435307034e+001, +7.45812592328e-002, +5.28351895187e+000
+2.05040000000e+001, +1.09465974576e+001, +6.11691805824e+001, +7.44369037831e-002, +5.27872263080e+000
+2.06330000000e+001, +1.10286467141e+001, +6.10111944427e+001, +7.44125625831e-002, +5.34490931397e+000
+2.07610000000e+001, +1.10745229444e+001, +6.11249514276e+001, +7.43429507776e-002, +5.34789915845e+000
+2.08910000000e+001, +1.11153644039e+001, +6.13747766675e+001, +7.43303893894e-002, +5.32513017334e+000
+2.10220000000e+001, +1.11486542823e+001, +6.15087837163e+001, +7.41827956852e-002, +5.31817597026e+000
+2.11530000000e+001, +1.12050037947e+001, +6.14451504091e+001, +7.40512991618e-002, +5.35599000248e+000
+2.12850000000e+001, +1.12540513858e+001, +6.16625965439e+001, +7.40663231161e-002, +5.34188061640e+000
+2.14180000000e+001, +1.12902348737e+001, +6.16762998342e+001, +7.38525691451e-002, +5.35667874278e+000
+2.15520000000e+001, +1.13530423567e+001, +6.17608366897e+001, +7.38602853178e-002, +5.37172662516e+000
+2.16860000000e+001, +1.13948567500e+001, +6.17251479676e+001, +7.36495879718e-002, +5.39776311425e+000
+2.18220000000e+001, +1.14352886347e+001, +6.18040902567e+001, +7.35046484794e-002, +5.40303492720e+000
+2.19580000000e+001, +1.15117769992e+001, +6.17086499310e+001, +7.34722273580e-002, +5.45606746997e+000
+2.20950000000e+001, +1.15601513472e+001, +6.15689616544e+001, +7.32270531974e-002, +5.50379572829e+000
+2.22330000000e+001, +1.15461535499e+001, +6.01448023891e+001, +7.16839398204e-002, +5.74778744502e+000
+2.23720000000e+001, +1.16272726753e+001, +6.24615663018e+001, +7.33449683111e-002, +5.37579407624e+000
+2.25120000000e+001, +1.16863821582e+001, +6.24994922864e+001, +7.32846564508e-002, +5.39626261057e+000
+2.26530000000e+001, +1.17334131299e+001, +6.26244683048e+001, +7.32044567682e-002, +5.39526505451e+000
+2.27940000000e+001, +1.18080884052e+001, +6.27071891922e+001, +7.32692990004e-002, +5.41445784998e+000
+2.29360000000e+001, +1.18693527848e+001, +6.27672301943e+001, +7.32330066300e-002, +5.43149353069e+000
+2.30800000000e+001, +1.19018865002e+001, +6.28675404351e+001, +7.30412127965e-002, +5.42784537717e+000
+2.32240000000e+001, +1.19518772740e+001, +6.28795965264e+001, +7.29010686354e-002, +5.44840536388e+000
+2.33690000000e+001, +1.20038327297e+001, +6.29517127217e+001, +7.28105205142e-002, +5.45863794552e+000
+2.35150000000e+001, +1.20636786856e+001, +6.30228332262e+001, +7.27652348761e-002, +5.47251151608e+000
+2.36620000000e+001, +1.20954917861e+001, +6.32175134388e+001, +7.26288597747e-002, +5.45028527160e+000
+2.38100000000e+001, +1.21814739847e+001, +6.31548406706e+001, +7.26503117546e-002, +5.50092120406e+000
+2.39580000000e+001, +1.22300544439e+001, +6.32466268746e+001, +7.25481415193e-002, +5.50537138281e+000
+2.41080000000e+001, +1.22805743141e+001, +6.34146219634e+001, +7.25012589968e-002, +5.49593627689e+000
+2.42590000000e+001, +1.23283162053e+001, +6.34446559762e+001, +7.23490407385e-002, +5.51152236053e+000
+2.44100000000e+001, +1.23855750128e+001, +6.35358463430e+001, +7.22928045770e-002, +5.51948067331e+000
+2.45630000000e+001, +1.24336959037e+001, +6.34604665394e+001, +7.20743301801e-002, +5.55556434384e+000
+2.47160000000e+001, +1.25313877099e+001, +6.35768983259e+001, +7.22640703626e-002, +5.57642109287e+000
+2.48700000000e+001, +1.25725139417e+001, +6.37907476252e+001, +7.21854177656e-002, +5.55266008939e+000
+2.50260000000e+001, +1.26202999703e+001, +6.38269455288e+001, +7.20304831630e-002, +5.56661029666e+000
+2.51820000000e+001, +1.26663526780e+001, +6.39949424417e+001, +7.19487040194e-002, +5.55356844409e+000
+2.53390000000e+001, +1.27298734723e+001, +6.40167393317e+001, +7.18748242280e-002, +5.57706627627e+000
+2.54980000000e+001, +1.27816108412e+001, +6.40384767394e+001, +7.17301795112e-002, +5.59537339743e+000
+2.56570000000e+001, +1.28292368589e+001, +6.41863848865e+001, +7.16409739877e-002, +5.58642741010e+000
+2.58170000000e+001, +1.29055541772e+001, +6.42080281094e+001, +7.16335925136e-002, +5.61527044287e+000
+2.59780000000e+001, +1.29547175002e+001, +6.42451073140e+001, +7.14831677377e-002, +5.62911195446e+000
+2.61410000000e+001, +1.30038705955e+001, +6.44322326696e+001, +7.14189469459e-002, +5.61218888452e+000
+2.63040000000e+001, +1.30859339766e+001, +6.43943429989e+001, +7.14016764237e-002, +5.65541073678e+000
+2.64680000000e+001, +1.31381020779e+001, +6.45753789510e+001, +7.13496670535e-002, +5.64049299243e+000
+2.66340000000e+001, +1.32030525969e+001, +6.45787484237e+001, +7.12574936620e-002, +5.66767650028e+000
+2.68000000000e+001, +1.32602397365e+001, +6.46055358588e+001, +7.11386491059e-002, +5.68662532909e+000
+2.69670000000e+001, +1.33271699086e+001, +6.46750615990e+001, +7.10958275064e-002, +5.70071467142e+000
+2.71360000000e+001, +1.33874998436e+001, +6.46752514716e+001, +7.09729967672e-002, +5.72648078012e+000
+2.73050000000e+001, +1.34416477103e+001, +6.48410950770e+001, +7.09157137623e-002, +5.71445037893e+000
+2.74760000000e+001, +1.34947214621e+001, +6.48303738149e+001, +7.07464070855e-002, +5.73929912793e+000
+2.76480000000e+001, +1.35646071693e+001, +6.49000829638e+001, +7.07107391822e-002, +5.75408074432e+000
+2.78200000000e+001, +1.36112675776e+001, +6.51548803112e+001, +7.06614900668e-002, +5.71900295154e+000
+2.79940000000e+001, +1.36913770873e+001, +6.49727570128e+001, +7.05312637307e-002, +5.79212537091e+000
+2.81690000000e+001, +1.37359584886e+001, +6.52327254349e+001, +7.04695676139e-002, +5.75445346616e+000
+2.83450000000e+001, +1.37956338329e+001, +6.53495908872e+001, +7.04023026633e-002, +5.75389098135e+000
+2.85220000000e+001, +1.38559635204e+001, +6.52501757966e+001, +7.02153111214e-002, +5.80089544264e+000
+2.87000000000e+001, +1.39174301986e+001, +6.55867832767e+001, +7.02779967112e-002, +5.75227557987e+000
+2.88790000000e+001, +1.39903746858e+001, +6.55305818758e+001, +7.01771619642e-002, +5.79491795133e+000
+2.90600000000e+001, +1.40536066680e+001, +6.56329502868e+001, +7.01121152475e-002, +5.79824597109e+000
+2.92410000000e+001, +1.41159533571e+001, +6.56513841180e+001, +6.99974369188e-002, +5.81983172142e+000
+2.94240000000e+001, +1.41883633308e+001, +6.57415087429e+001, +6.99686074816e-002, +5.82934542492e+000
+2.96080000000e+001, +1.42510485217e+001, +6.58653328595e+001, +6.99088456747e-002, +5.82700721401e+000
+2.97930000000e+001, +1.42912796728e+001, +6.59570389365e+001, +6.97207492453e-002, +5.82257483028e+000
+2.99790000000e+001, +1.43889536499e+001, +6.59902151190e+001, +6.97797382955e-002, +5.85475949524e+000
+3.01660000000e+001, +1.44375192892e+001, +6.61160294563e+001, +6.96491229264e-002, +5.84554644685e+000
+3.03550000000e+001, +1.45104123109e+001, +6.63195429473e+001, +6.96738992019e-002, +5.82789570316e+000
