!Agilent Technologies,E4990A,MY54101349,A.02.20
!Date: Wed Sep 28 20:28:10 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+2.00000000000e+001, +2.89877149789e-001, -4.58629935899e-001, -1.84645720700e-005, +2.89867863094e-001
+2.01250000000e+001, +2.91788695839e-001, -3.11753021756e-001, -1.25556326832e-005, +2.91784376538e-001
+2.02510000000e+001, +2.91128978035e-001, +1.32526818163e-001, +5.29224383030e-006, +2.91128199250e-001
+2.03770000000e+001, +2.94145482837e-001, -1.61728784303e-001, -6.48494328778e-006, +2.94144311016e-001
+2.05040000000e+001, +2.87562918421e-001, -1.33102450975e-001, -5.18534253815e-006, +2.87562142479e-001
+2.06330000000e+001, +2.89542083031e-001, +8.56581443834e-002, +3.33899151769e-006, +2.89541759457e-001
+2.07610000000e+001, +2.92454496595e-001, -3.12897136445e-002, -1.22435991063e-006, +2.92454452985e-001
+2.08910000000e+001, +2.93170524640e-001, +6.05865959760e-001, +2.36171252784e-005, +2.93154134068e-001
+2.10220000000e+001, +2.89410472600e-001, +2.81612947347e-001, +1.07693273753e-005, +2.89406976826e-001
+2.11530000000e+001, +2.92160171266e-001, +1.55830141457e-001, +5.97857208180e-006, +2.92159090707e-001
+2.12850000000e+001, +2.87142830669e-001, +4.21677577916e-001, +1.58015034450e-005, +2.87135054212e-001
+2.14180000000e+001, +2.91550311881e-001, +4.40779124969e-001, +1.66666697489e-005, +2.91541684517e-001
+2.15520000000e+001, +2.88591893412e-001, +4.73541819115e-001, +1.76135721307e-005, +2.88582036904e-001
+2.16860000000e+001, +2.91349234153e-001, +1.11171807739e+000, +4.14857879625e-005, +2.91294392021e-001
+2.18220000000e+001, +2.90161867831e-001, +3.49292048508e-001, +1.29011758561e-005, +2.90156475940e-001
+2.19580000000e+001, +2.89109963251e-001, +8.81885308202e-001, +3.22524519158e-005, +2.89075717757e-001
+2.20950000000e+001, +2.92706184525e-001, +2.14465567366e-001, +7.89208862546e-006, +2.92704133971e-001
